month,lost_overall,lost_daily,lost_total,payouts_count,payouts_sum_usd
2018-12,0,0,0,3,12707.71
2019-01,0,0,0,3,12960.47
2019-02,0,0,0,5,22060.51
2019-03,0,0,0,4,17911.43
2019-04,0,0,0,4,16403.00
2019-05,0,0,0,11,45082.68
2019-06,0,0,0,9,37507.27
2019-07,0,0,0,6,26047.00
2019-08,0,0,0,13,56094.84
2019-09,0,0,0,9,38310.63
2019-10,0,0,0,9,38456.00
2019-11,0,0,0,5,20589.00
2019-12,0,0,0,4,16212.00
2020-01,0,0,0,6,24538.00
2020-02,0,0,0,17,77802.82
2020-03,1,1,2,41,193827.10
2020-04,0,0,0,20,85581.00
2020-05,0,0,0,19,80640.00
2020-06,0,0,0,23,98228.00
2020-07,0,0,0,19,80838.00
2020-08,0,0,0,12,50436.00
2020-09,0,0,0,32,140019.00
2020-10,0,0,0,26,113578.00
2020-11,0,0,0,29,129994.00
2020-12,0,0,0,12,50046.00
2021-01,0,0,0,17,79276.00
2021-02,0,0,0,17,75765.00
2021-03,0,1,1,34,149589.00
2021-04,0,0,0,20,85279.00
2021-05,0,0,0,21,88027.00
2021-06,0,0,0,20,84814.00
2021-07,0,0,0,16,68196.00
2021-08,0,0,0,17,73223.00
2021-09,0,0,0,18,77128.00
2021-10,0,0,0,21,89774.00
2021-11,0,0,0,23,99454.00
2021-12,0,0,0,29,133865.00
2022-01,0,1,1,42,195101.00
2022-02,0,1,1,40,181972.00
2022-03,0,0,0,44,197812.00
2022-04,0,0,0,33,149860.00
2022-05,0,0,0,53,242656.00
2022-06,0,1,1,40,174217.00
2022-07,0,0,0,26,114425.00
2022-08,0,0,0,28,123659.00
2022-09,0,0,0,31,138425.00
2022-10,0,0,0,39,172189.00
2022-11,0,0,0,31,135073.00
2022-12,0,0,0,23,98789.00
2023-01,0,0,0,19,81974.00
2023-02,0,0,0,20,89952.00
2023-03,0,0,0,31,135726.00
2023-04,0,0,0,20,84524.00
2023-05,0,0,0,19,80573.00
2023-06,0,0,0,17,74948.00
2023-07,1,1,2,10,43003.00
2023-08,1,0,1,10,43606.00
2023-09,0,2,2,2,8239.00
2023-10,0,4,4,6,25007.00
2023-11,2,4,6,0,0.00
2023-12,2,1,3,1,4276.00
2024-01,2,0,2,1,4303.00
2024-02,1,1,2,4,16327.00
2024-03,2,0,2,10,44836.00
2024-04,1,2,3,2,8513.00
2024-05,2,0,2,3,13826.00
2024-06,0,5,5,1,4076.00
2024-07,1,2,3,9,41085.00
2024-08,0,4,4,21,103582.00
2024-09,0,3,3,13,58200.00
2024-10,0,1,1,7,30505.00
2024-11,0,3,3,5,21119.00
2024-12,3,1,4,3,14787.00
2025-01,0,2,2,14,65491.00
2025-02,1,0,1,7,32402.00
2025-03,2,4,6,17,82888.00
2025-04,2,7,9,0,0.00
2025-05,4,2,6,0,0.00
2025-06,5,2,7,0,0.00
2025-07,4,2,6,1,4530.00
2025-08,5,3,8,0,0.00
2025-09,5,0,5,0,0.00
2025-10,7,3,10,0,0.00
2025-11,2,15,17,0,0.00
2025-12,4,13,17,0,0.00
2026-01,6,5,11,0,0.00
2026-02,4,10,14,1,4614.00
2026-03,3,11,14,0,0.00
2026-04,4,6,10,0,0.00
2026-05,0,1,1,0,0.00
