month,trades,win_rate_pct,avg_winner,avg_loser,profit_factor,avg_volume,gross_profit,gross_loss,net,fvg,ob,sz,lsweep
2018-12,39,71.79,608.50,498.36,3.1080,3.8903,17037.90,5482.00,11555.90,34,2,2,0
2019-01,46,65.22,485.80,333.31,2.7328,4.7026,14574.06,5333.00,9241.06,42,0,3,0
2019-02,33,69.70,695.20,301.70,5.2998,4.7821,15989.61,3017.00,12972.61,27,3,2,0
2019-03,98,67.35,274.50,119.35,4.8964,4.8872,18116.86,3700.00,14416.86,92,5,0,0
2019-04,435,63.91,96.46,92.01,1.8803,5.0000,26817.00,14262.00,12555.00,324,52,21,0
2019-05,505,66.93,161.02,124.53,2.6812,4.9880,54424.68,20299.00,34125.68,386,39,29,0
2019-06,500,69.20,130.22,135.69,2.1703,5.0000,45056.00,20760.00,24296.00,378,63,34,0
2019-07,496,64.11,117.53,90.62,2.3567,5.0000,37375.00,15859.00,21516.00,378,55,29,0
2019-08,500,68.60,190.76,144.69,2.8804,4.9923,65430.84,22716.00,42714.84,401,36,32,0
2019-09,449,65.70,145.80,119.69,2.4117,4.9962,43010.05,17834.00,25176.05,319,45,38,0
2019-10,505,66.73,140.12,118.06,2.4095,5.0000,47222.00,19598.00,27624.00,371,68,31,0
2019-11,446,63.90,100.48,79.16,2.2611,5.0000,28637.00,12665.00,15972.00,327,49,32,0
2019-12,378,60.58,107.22,89.85,1.8341,5.0000,24553.00,13387.00,11166.00,302,34,16,0
2020-01,462,66.02,133.46,108.17,2.4276,5.0000,40704.00,16767.00,23937.00,344,58,17,0
2020-02,429,68.07,269.30,158.50,3.6749,4.9997,78635.82,21398.00,57237.82,325,49,31,0
2020-03,477,73.38,585.40,461.36,3.4968,4.9600,204889.06,58593.00,146296.06,357,64,39,0
2020-04,503,70.97,287.92,312.85,2.2815,5.0000,102786.00,45051.00,57735.00,405,38,23,0
2020-05,488,74.80,232.23,195.61,3.5518,5.0000,84764.00,23865.00,60899.00,379,44,27,0
2020-06,532,73.31,240.19,205.99,3.2252,5.0000,93673.00,29044.00,64629.00,421,47,23,0
2020-07,545,70.64,251.82,199.65,3.0734,5.0000,96951.00,31545.00,65406.00,432,52,25,0
2020-08,499,65.73,212.59,190.48,2.1790,5.0000,69729.00,32000.00,37729.00,385,54,23,0
2020-09,562,75.98,351.84,314.88,3.5606,5.0000,150235.00,42194.00,108041.00,435,51,30,0
2020-10,492,75.81,289.50,251.22,3.7056,5.0000,107985.00,29141.00,78844.00,353,50,41,0
